@relation jAudio
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE Class {bed , dining , kitchen , meeting , office , washroom}
@DATA
-4.368734141398475,7.331663149152316,3.053850004856737,2.6771341626296894,2.336802121324833,1.3518923316399647,0.05622016836096958,1.3565297236463814,0.5716609398289126,-0.9035869097203967,0.6381199443731661,-0.8277727622547538,bed
-5.688959769170199,12.795267902363523,4.397570555919338,4.07117101875022,3.611289885968234,1.8364287703968785,-0.6530107539512697,0.5491119942903047,0.3000580199702794,-1.3436464471634586,0.4967973308839295,-0.6452213972389037,bed
-5.688038231425538,12.58909402444078,4.053721059952906,3.996786718511554,3.48310557359064,1.9935400493202793,-0.5276946891168873,0.608643381284913,0.334613082526146,-1.4365513159032848,0.36631776622307555,-0.5916406856925184,bed
-4.361352397497206,9.04334492507794,3.4159655357627208,2.7620932796669404,1.809611204911234,2.1830711819396695,0.2266920874936217,0.4584614547005229,0.27852309866581737,-1.0102936832008769,0.7428562692566064,-0.3108581553841046,bed
-5.180078722197549,10.426050486078962,4.168846013386175,3.9849852857629657,2.9739444090335736,1.6617549430599308,-0.38475175111567433,0.7560948894873945,0.28472426973533316,-1.4003865422345094,0.34599399234358996,-0.5937980185047532,bed
-2.7707708812241743,6.18870684613937,2.70036716312187,2.7109437701828627,0.9082434977680267,1.7949003823574234,0.06741708210154394,0.5825479434719428,0.20341592427044639,-0.7418582227266762,0.8133754354668237,-0.1954006533735999,bed
-5.461597852652134,11.949435052540885,4.059515869472765,3.5326716468977164,2.9269610442895995,1.9595857748767687,-0.4073838449265347,0.5069227825347324,0.25569301654742055,-1.1646592312912305,0.6192208486228127,-0.3664297440997854,bed
-5.819799265511393,12.213839361582867,4.481926788382329,3.9068837085945374,3.3878815761228003,2.0599199802409944,-0.4233091713609767,0.5558796513076008,0.22120487850160633,-1.0956238949928665,0.5305937775794571,-0.718015003216691,bed
-5.341384362362639,12.414586989167802,3.8133345049385743,3.616569572808929,3.455904011603093,1.8885533535323158,-0.7961625532079303,0.4257319484201498,0.34339519141300384,-1.0113430058216193,0.6897233417978723,-0.6391634958536977,bed
-5.41876062090821,12.32129093760206,3.63576640130712,3.511730143136717,3.523166862202391,1.9667490924777251,-0.6796994869552453,0.5506308792521438,0.41984497838750245,-1.0512494011661226,0.6536662985048722,-0.6685787162752428,bed
-4.921272609289496,12.004375131423489,3.6997117380480704,3.453687372260406,3.0668316045679958,2.0061075367858168,-0.4065308508768638,0.5744304199822057,0.3654209760809407,-1.1677073531804036,0.6337673681382454,-0.6430154851760626,bed
-6.119793524041144,12.857626167216804,4.079407608020557,3.9329933803649935,3.6241418746589824,1.9240774060282406,-0.5326492403176957,0.40303189740650325,0.12111587925379844,-1.4132018778725808,0.6730295479313861,-0.680825824015639,bed
-5.37039426226378,11.978351373321887,3.850102335862782,3.673342494926131,3.1747918858134065,2.0370485740216573,-0.06199645573080936,0.799732252058305,0.27037981414150936,-1.3177214604178624,0.4721555449588737,-0.7789654833762705,bed
-5.645096143447062,12.161837755746308,3.96909368605724,3.842843876350981,3.6155129951531757,2.300340647425913,-0.22828577783338777,0.4992650325387896,0.10321503189352023,-1.364093261072081,0.4833400768011143,-0.6968541750317837,bed
-5.640947340730524,11.247092940005828,3.944408537332415,3.6791309942555968,2.9504870759243857,2.0169705391507344,-0.19791984892893055,0.5369997262003497,0.23170346767701783,-1.1123614956736687,0.5358878427905763,-0.5523830570944863,bed
-5.276122225611147,12.357871745715983,3.936666351316441,3.4474211605109804,3.3002329212308035,2.038488378094149,-0.41697495468057755,0.7581447512493685,0.30426037791212107,-1.2641870807882867,0.4933564780787116,-0.6643053346379191,bed
-5.579984280899035,12.690938297146253,3.999390266129591,3.855593075760793,3.6632567918501038,1.9135064728547946,-0.6475568739013383,0.4332344511697451,0.23052125393000972,-1.2264881748135477,0.5000752385085442,-0.8767285443966798,bed
-5.3887717713654695,12.682912983768198,4.151494198154413,3.6750330569825174,3.552402984593446,1.9672330540731435,-0.7514773081591409,0.42126391463792806,0.2704998777453575,-1.187736198002396,0.5152565008685825,-0.6611371148687112,bed
-5.86572533141584,12.243978632972981,4.184837263115755,4.007648249707263,3.49388307238465,2.118890752022573,-0.41636931874488503,0.4458046428251906,0.21786979939146697,-1.1961971729226553,0.5193329005399889,-0.7375582877680458,bed
-5.983627173384575,12.649958527111103,4.138437719724398,3.9628047432047264,3.6571098355948033,1.7495938333098537,-0.7817180575706816,0.48109777053694536,0.26695464102434235,-1.37065325563952,0.47707747665358774,-0.7244494554189796,bed
-5.870767495546263,12.247743288587916,4.262082636431913,3.8171295348528034,3.438731831768845,1.9898220349910567,-0.5616213405562653,0.5018241754587923,0.15252914382338678,-1.3809328048015599,0.4512009477379673,-0.6721062884183555,bed
-6.031952741284064,12.49354341935018,4.450122097612814,4.064650354154363,3.429891974417271,1.9050492082293857,-0.49114730820725633,0.1895701875991995,0.13031358053013545,-1.3894562203420062,0.4709711489286623,-0.7422570060446192,bed
-5.6515023932030894,12.153907244039708,4.0179189892464,3.624151129387568,3.2066109734905566,1.9249366474729352,-0.2729265779606166,0.6772360999493041,0.24520586843739367,-1.425630447663461,0.5095243759986539,-0.5544457393168467,bed
-5.779557323183955,12.152974198368991,4.312289771056825,3.841224224274134,3.5652959109333895,2.103697691882197,-0.46682293066734626,0.4081034213391682,0.1811007039466285,-1.2502710049158992,0.4545944423007415,-0.7407665493171557,bed
-6.014993590334298,12.415541883602199,3.5529377861540694,3.740719532883456,3.877789163297693,2.054856850974295,-0.5007643153478996,0.4992129563619134,0.19858373880766653,-1.325536585569162,0.731625368242527,-0.7748700967081928,bed
-4.993922739785984,10.460670039222956,3.6624034110540364,3.9131754779550256,2.8882055974309147,2.042760143782115,-0.14860164280593754,0.3438521088753996,0.04663817112190419,-1.1155242028157866,0.8287664736492261,-0.4296095354508981,bed
